43
# x y z
390	989.2093	0
420	980.4871	0
400	987.414	0
410	982.292	0
380	994.4391	0
370	995.7553	0
360	994.451	0
350	996.5297	0
340	998	0
330	1000.4421	0
320	1003.1944	0
310	1007.9966	0
300	1012.1914	0
290	1016.0897	0
280	1021.3199	0
270	1023	0
260	1022.7144	0
250	1023.9769	0
240	1023	0
230	1019.8127	0
220	1018.0792	0
210	1017.6209	0
200	1014	0
190	1008.9312	0
180	1006.0978	0
170	1004	0
160	1002.5736	0
150	1000.07	0
140	999.0836	0
130	997.9098	0
120	995.0459	0
110	994.3781	0
100	993.4465	0
90	991.2596	0
80	991.5651	0
70	991.5154	0
60	990.3394	0
50	989.6807	0
40	991	0
30	991.2821	0
20	988.0058	0
10	985.4299	0
0	979.5214	0
287
# a b m n rhoa k err ip iperr response residual
1	2	3	4	7.68200000000000e+01	1.22794825845005e+02	3.00000000000000e-02	0.00000000000000e+00	0.00000000000000e+00	7.75727607142903e+01	-3.25044030860155e-01
5	4	1	3	8.61800000000000e+01	1.51056983745086e+02	3.00000000000000e-02	0.00000000000000e+00	0.00000000000000e+00	9.24012313287908e+01	-2.32340574801064e+00
6	3	5	1	5.87200000000000e+01	1.22148945063096e+02	3.00000000000000e-02	0.00000000000000e+00	0.00000000000000e+00	6.15349903908178e+01	-1.56085260533440e+00
7	1	6	5	6.92800000000000e+01	1.39233352640493e+02	3.00000000000000e-02	0.00000000000000e+00	0.00000000000000e+00	6.50622869195542e+01	2.09370642986701e+00
8	5	7	6	5.38600000000000e+01	1.29430818532193e+02	3.00000000000000e-02	0.00000000000000e+00	0.00000000000000e+00	5.21770341414717e+01	1.05818827602813e+00
9	6	8	7	3.84400000000000e+01	1.27057527055971e+02	3.00000000000000e-02	0.00000000000000e+00	0.00000000000000e+00	3.88166545421646e+01	-3.25027040236832e-01
10	7	9	8	2.95600000000000e+01	1.29883024260908e+02	3.00000000000000e-02	0.00000000000000e+00	0.00000000000000e+00	3.11808714089806e+01	-1.77942382831019e+00
11	8	10	9	2.96900000000000e+01	1.28376455637631e+02	3.00000000000000e-02	0.00000000000000e+00	0.00000000000000e+00	2.99372228947978e+01	-2.76411007632049e-01
12	9	11	10	3.05800000000000e+01	1.36411694311053e+02	3.00000000000000e-02	0.00000000000000e+00	0.00000000000000e+00	3.62561652216266e+01	-5.67544138059984e+00
13	10	12	11	3.84500000000000e+01	1.30549949962852e+02	3.00000000000000e-02	0.00000000000000e+00	0.00000000000000e+00	3.85455410852719e+01	-8.27243872061937e-02
14	11	13	12	6.16700000000000e+01	1.37536194784139e+02	3.00000000000000e-02	0.00000000000000e+00	0.00000000000000e+00	6.09336907025786e+01	4.00378458223057e-01
15	12	14	13	8.48800000000000e+01	1.41207651731264e+02	3.00000000000000e-02	0.00000000000000e+00	0.00000000000000e+00	8.62163214738162e+01	-5.20700322812277e-01
16	13	15	14	7.55900000000000e+01	1.26876647254927e+02	3.00000000000000e-02	0.00000000000000e+00	0.00000000000000e+00	8.06467305228145e+01	-2.15847551202154e+00
17	14	16	15	1.12440000000000e+02	1.37437057189505e+02	3.00000000000000e-02	0.00000000000000e+00	0.00000000000000e+00	9.97017307357949e+01	4.00789032616512e+00
18	15	17	16	1.02750000000000e+02	1.28213949831156e+02	3.00000000000000e-02	0.00000000000000e+00	0.00000000000000e+00	1.09383889946129e+02	-2.08549225019672e+00
19	16	18	17	1.22200000000000e+02	1.26231578650453e+02	3.00000000000000e-02	0.00000000000000e+00	0.00000000000000e+00	1.20888647107375e+02	3.59639889691188e-01
20	17	19	18	1.07070000000000e+02	1.31523290377230e+02	3.00000000000000e-02	0.00000000000000e+00	0.00000000000000e+00	1.07881529823967e+02	-2.51695093132446e-01
21	18	20	19	9.19400000000000e+01	1.24970700779354e+02	3.00000000000000e-02	0.00000000000000e+00	0.00000000000000e+00	9.07597986225332e+01	4.30658308661810e-01
